[INFO ] 2024-02-05 10:37:56,743 2024-02-05 10:37:56.743 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-05 10:37:56,743 2024-02-05 10:37:56.743 [main] E-commerce_MyShop - Test case is Finished
[INFO ] 2024-02-05 10:38:53,467 2024-02-05 10:38:53.467 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-05 10:38:53,490 2024-02-05 10:38:53.490 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-05 10:38:54,779 2024-02-05 10:38:54.779 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-05 10:38:54,812 2024-02-05 10:38:54.812 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-05 10:38:55,633 2024-02-05 10:38:55.633 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-05 10:38:55,669 2024-02-05 10:38:55.669 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-05 10:38:56,580 2024-02-05 10:38:56.580 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-05 10:38:56,581 2024-02-05 10:38:56.581 [main] E-commerce_MyShop - Test case is Finished
[INFO ] 2024-02-05 10:44:40,319 2024-02-05 10:44:40.319 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-05 10:44:40,336 2024-02-05 10:44:40.336 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-05 10:44:41,547 2024-02-05 10:44:41.547 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-05 10:44:41,571 2024-02-05 10:44:41.571 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-05 10:44:42,374 2024-02-05 10:44:42.374 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-05 10:44:42,407 2024-02-05 10:44:42.407 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-05 10:44:44,272 2024-02-05 10:44:44.272 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-05 10:44:44,294 2024-02-05 10:44:44.294 [main] E-commerce_MyShop - Search Product Test Case Is Successfully Passed
